국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,국가 평균
에티오피아,-,-,-,-,-,21.1,-,20,-,-,42.2,-,-,44.7,-,-,-,90.5,-,43.7
감비아,-,-,-,-,-,-,-,-,91.8,102.9,-,31.7,-,-,-,-,-,-,52.9,69.82499999999999
가나,-,-,-,-,-,-,-,17.1,-,-,38,-,-,-,-,89.1,-,-,-,48.06666666666666
케냐,-,-,-,-,-,-,-,54.4,-,-,221.4,-,-,-,-,-,-,-,-,137.9
레소토,-,-,5.9,7.4,10,-,-,-,-,23,-,5.9,-,-,-,24.1,-,-,-,12.716666666666667
마다가스카르,15.2,50.6,47,47.1,47.6,47.9,47.6,48.2,46.5,45.2,52,50.9,-,-,-,-,24.7,30.6,34,42.34
말라위,-,-,-,-,-,-,-,30.4,-,-,50.4,-,-,-,-,-,-,-,-,40.4
말리,-,-,-,-,-,-,38.9,-,-,-,29.4,-,-,-,-,30.8,-,32.9,-,33.0
모리셔스,-,-,-,-,-,-,-,-,-,-,-,-,181.8,-,-,-,-,-,473.9,327.85
모로코,-,-,-,-,-,-,648.3,640.6,656.5,-,719.8,845.4,850.3,-,1024.4,-,1073.5,-,-,807.3499999999999
모잠비크,-,-,-,-,-,-,16,-,19.9,11.9,38.8,-,-,-,-,43,-,-,-,25.919999999999998
나미비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149.5,-,-,-,-,149.5
니제르,-,9.3,8.5,7.9,8.1,7.4,-,-,-,-,-,-,-,26.5,-,-,-,-,-,11.283333333333333
나이지리아,-,-,-,-,-,-,-,38.8,-,-,-,-,-,-,-,-,-,-,-,38.8
르완다,-,-,-,-,-,-,-,-,10.9,12.6,-,-,-,15.5,-,-,13.9,-,-,13.225
세네갈,-,-,-,-,-,-,264.5,280.4,377.1,-,369.1,-,-,-,-,564.3,-,-,-,371.08
세이셸,-,-,-,-,-,146.6,-,-,-,-,-,-,-,-,-,-,-,-,-,146.6
남아프리카공화국,-,311.2,-,302.5,378.8,361.4,383,393.3,389.4,392.1,365.5,386.8,404.7,434.9,432.2,472.3,492,517.7,-,401.1125
에스와티니,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142.3,-,-,-,142.3
탄자니아,-,-,-,-,-,-,-,-,-,-,36.1,-,-,19.2,-,-,-,-,-,27.65
토고,-,-,-,26.6,25.1,33.1,23.6,36.5,-,-,34.3,34.5,35.8,-,38,36.1,32.2,38.8,48.1,34.05384615384616
튀니지,-,-,-,-,-,-,-,1087.9,1217.4,1490.5,1384.7,1431.4,1627.9,1801.2,1814.1,1799,1982.2,-,1771.6,1582.5363636363638
우간다,-,-,-,-,-,-,-,-,-,-,38.9,-,-,-,27.8,-,-,-,-,33.35
잠비아,-,-,-,-,-,-,-,-,41.7,-,-,-,-,-,-,-,-,-,-,41.7
짐바브웨,-,-,-,-,-,-,-,-,-,-,-,-,99.5,-,-,-,-,-,-,99.5
미국령사모아,-,-,84.6,403.3,150.8,100.7,-,-,-,-,-,-,-,-,-,-,-,-,-,184.85000000000002
오스트레일리아,3475.3,-,3771.5,-,4084.2,-,4248.3,-,4343.1,-,4532.4,-,-,-,-,-,-,-,-,4075.8000000000006
괌,-,-,-,285.3,316.3,303,-,-,-,-,-,-,-,-,-,-,-,-,-,301.53333333333336
뉴질랜드,-,2643,-,3073.8,-,3140.2,-,3449.1,-,3724,-,3688.9,-,3961.5,-,5417.7,-,5529.5,-,3847.522222222222
파푸아뉴기니,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.5,-,-,35.5
